Zip Code,Demographic,Percent,Year,BOROUGH
10013,White,61.0,2019,MANHATTAN
10013,Black,4.8,2019,MANHATTAN
10013,Asian,33.9,2019,MANHATTAN
10013,Hispanic,6.7,2019,MANHATTAN
10014,Male,50.3,2017,MANHATTAN
10014,Female,49.7,2017,MANHATTAN
10014,White,91.3,2017,MANHATTAN
10014,Black,2.2,2017,MANHATTAN
10014,Asian,7.0,2017,MANHATTAN
10014,Hispanic,6.3,2017,MANHATTAN
10014,Male,50.5,2018,MANHATTAN
10014,Female,49.5,2018,MANHATTAN
10014,White,91.6,2018,MANHATTAN
10014,Black,1.7,2018,MANHATTAN
10014,Asian,7.6,2018,MANHATTAN
10014,Hispanic,6.7,2018,MANHATTAN
10014,Male,49.2,2019,MANHATTAN
10014,Female,50.8,2019,MANHATTAN
10014,White,92.5,2019,MANHATTAN
10014,Black,2.5,2019,MANHATTAN
10014,Asian,7.3,2019,MANHATTAN
10014,Hispanic,7.0,2019,MANHATTAN
10016,Male,45.9,2017,MANHATTAN
10016,Female,54.1,2017,MANHATTAN
10016,White,73.1,2017,MANHATTAN
10016,Black,5.0,2017,MANHATTAN
10016,Asian,22.9,2017,MANHATTAN
10016,Hispanic,9.4,2017,MANHATTAN
10016,Male,47.3,2018,MANHATTAN
10016,Female,52.7,2018,MANHATTAN
10016,White,73.8,2018,MANHATTAN
10016,Black,5.4,2018,MANHATTAN
10016,Asian,21.5,2018,MANHATTAN
10016,Hispanic,6.9,2018,MANHATTAN
10016,Male,47.9,2019,MANHATTAN
10016,Female,52.1,2019,MANHATTAN
10016,White,73.1,2019,MANHATTAN
10016,Black,5.1,2019,MANHATTAN
10016,Asian,22.0,2019,MANHATTAN
10016,Hispanic,8.2,2019,MANHATTAN
10017,Male,47.3,2017,MANHATTAN
10017,Female,52.7,2017,MANHATTAN
10017,White,77.6,2017,MANHATTAN
10017,Black,2.8,2017,MANHATTAN
10017,Asian,20.9,2017,MANHATTAN
10017,Hispanic,7.0,2017,MANHATTAN
10017,Male,45.1,2018,MANHATTAN
10017,Female,54.9,2018,MANHATTAN
10017,White,75.9,2018,MANHATTAN
10017,Black,3.0,2018,MANHATTAN
10017,Asian,22.8,2018,MANHATTAN
10017,Hispanic,5.9,2018,MANHATTAN
10017,Male,46.0,2019,MANHATTAN
10017,Female,54.0,2019,MANHATTAN
10017,White,75.8,2019,MANHATTAN
10017,Black,2.0,2019,MANHATTAN
10017,Asian,22.6,2019,MANHATTAN
10017,Hispanic,5.2,2019,MANHATTAN
10018,Male,50.8,2017,MANHATTAN
10018,Female,49.2,2017,MANHATTAN
10018,White,61.1,2017,MANHATTAN
10018,Black,7.5,2017,MANHATTAN
10018,Asian,32.4,2017,MANHATTAN
10018,Hispanic,16.6,2017,MANHATTAN
10018,Male,53.1,2018,MANHATTAN
10018,Female,46.9,2018,MANHATTAN
10018,White,62.2,2018,MANHATTAN
10018,Black,5.8,2018,MANHATTAN
10018,Asian,32.7,2018,MANHATTAN
10018,Hispanic,15.2,2018,MANHATTAN
10018,Male,54.4,2019,MANHATTAN
10018,Female,45.6,2019,MANHATTAN
10018,White,62.5,2019,MANHATTAN
10018,Black,6.3,2019,MANHATTAN
10018,Asian,30.9,2019,MANHATTAN
10018,Hispanic,16.1,2019,MANHATTAN
10019,Male,51.9,2017,MANHATTAN
10019,Female,48.1,2017,MANHATTAN
