BOROUGH,Zip Code,MonthYear,Evictions
BRONX,10459,2017-03,24
BRONX,10459,2017-04,18
BRONX,10459,2017-05,23
BRONX,10459,2017-06,32
BRONX,10459,2017-07,23
BRONX,10459,2017-08,34
BRONX,10459,2017-09,41
BRONX,10459,2017-10,25
BRONX,10459,2017-11,32
BRONX,10459,2017-12,32
BRONX,10459,2018-01,39
BRONX,10459,2018-02,32
BRONX,10459,2018-03,20
BRONX,10459,2018-04,25
BRONX,10459,2018-05,41
BRONX,10459,2018-06,31
BRONX,10459,2018-07,28
BRONX,10459,2018-08,24
BRONX,10459,2018-09,19
BRONX,10459,2018-10,29
BRONX,10459,2018-11,21
BRONX,10459,2018-12,17
BRONX,10459,2019-01,33
BRONX,10459,2019-02,24
BRONX,10459,2019-03,22
BRONX,10459,2019-04,30
BRONX,10459,2019-05,21
BRONX,10459,2019-06,27
BRONX,10459,2019-07,25
BRONX,10459,2019-08,29
BRONX,10459,2019-09,21
BRONX,10459,2019-10,29
BRONX,10459,2019-11,22
BRONX,10459,2019-12,27
BRONX,10460,2017-01,45
BRONX,10460,2017-02,22
BRONX,10460,2017-03,40
BRONX,10460,2017-04,37
BRONX,10460,2017-05,32
BRONX,10460,2017-06,51
BRONX,10460,2017-07,37
BRONX,10460,2017-08,49
BRONX,10460,2017-09,40
BRONX,10460,2017-10,45
BRONX,10460,2017-11,39
BRONX,10460,2017-12,34
BRONX,10460,2018-01,57
BRONX,10460,2018-02,22
BRONX,10460,2018-03,22
BRONX,10460,2018-04,38
BRONX,10460,2018-05,54
BRONX,10460,2018-06,43
BRONX,10460,2018-07,39
BRONX,10460,2018-08,46
BRONX,10460,2018-09,38
BRONX,10460,2018-10,37
BRONX,10460,2018-11,29
BRONX,10460,2018-12,20
BRONX,10460,2019-01,49
BRONX,10460,2019-02,45
BRONX,10460,2019-03,18
BRONX,10460,2019-04,44
BRONX,10460,2019-05,35
BRONX,10460,2019-06,39
BRONX,10460,2019-07,28
BRONX,10460,2019-08,16
BRONX,10460,2019-09,24
BRONX,10460,2019-10,19
BRONX,10460,2019-11,23
BRONX,10460,2019-12,24
BRONX,10461,2017-01,12
BRONX,10461,2017-02,13
BRONX,10461,2017-03,6
BRONX,10461,2017-04,16
BRONX,10461,2017-05,9
BRONX,10461,2017-06,14
BRONX,10461,2017-07,9
BRONX,10461,2017-08,10
BRONX,10461,2017-09,15
BRONX,10461,2017-10,8
BRONX,10461,2017-11,10
BRONX,10461,2017-12,6
BRONX,10461,2018-01,14
BRONX,10461,2018-02,14
BRONX,10461,2018-03,9
BRONX,10461,2018-04,13
BRONX,10461,2018-05,14
BRONX,10461,2018-06,10
BRONX,10461,2018-07,7
BRONX,10461,2018-08,6
BRONX,10461,2018-09,9
BRONX,10461,2018-10,14
BRONX,10461,2018-11,9
BRONX,10461,2018-12,7
BRONX,10461,2019-01,9
BRONX,10461,2019-02,18
BRONX,10461,2019-03,14
BRONX,10461,2019-04,6
BRONX,10461,2019-05,7
BRONX,10461,2019-06,3
BRONX,10461,2019-07,11
BRONX,10461,2019-08,12
BRONX,10461,2019-09,6
BRONX,10461,2019-10,9
BRONX,10461,2019-11,13
BRONX,10461,2019-12,6
BRONX,10462,2017-01,29
BRONX,10462,2017-02,18
BRONX,10462,2017-03,40
BRONX,10462,2017-04,29
BRONX,10462,2017-05,40
BRONX,10462,2017-06,24
BRONX,10462,2017-07,12
BRONX,10462,2017-08,35
BRONX,10462,2017-09,29
BRONX,10462,2017-10,23
BRONX,10462,2017-11,32
BRONX,10462,2017-12,25
BRONX,10462,2018-01,39
BRONX,10462,2018-02,21
BRONX,10462,2018-03,19
BRONX,10462,2018-04,31
BRONX,10462,2018-05,24
BRONX,10462,2018-06,32
BRONX,10462,2018-07,39
BRONX,10462,2018-08,23
BRONX,10462,2018-09,20
BRONX,10462,2018-10,35
BRONX,10462,2018-11,25
BRONX,10462,2018-12,14
BRONX,10462,2019-01,25
BRONX,10462,2019-02,29
BRONX,10462,2019-03,27
BRONX,10462,2019-04,38
BRONX,10462,2019-05,26
BRONX,10462,2019-06,17
BRONX,10462,2019-07,17
BRONX,10462,2019-08,28
